iter	Passed	Remaining
0	27	11139
1	56	11303
2	87	11515
3	114	11350
4	142	11283
5	168	11084
6	192	10816
7	218	10689
8	249	10848
9	277	10808
10	303	10719
11	331	10710
12	355	10578
13	379	10455
14	405	10409
15	428	10287
16	452	10196
17	477	10140
18	502	10066
19	531	10098
20	556	10049
21	584	10050
22	608	9981
23	633	9924
24	658	9880
25	685	9855
26	709	9801
27	734	9752
28	761	9742
29	790	9753
30	819	9758
31	849	9768
32	876	9748
33	901	9702
34	928	9678
35	953	9640
36	979	9605
37	1004	9565
38	1031	9545
39	1054	9493
40	1082	9479
41	1110	9468
42	1138	9452
43	1164	9420
44	1193	9417
45	1223	9419
46	1256	9434
47	1286	9431
48	1309	9376
49	1336	9355
50	1362	9324
51	1389	9296
52	1415	9267
53	1445	9261
54	1473	9245
55	1500	9220
56	1525	9177
57	1550	9141
58	1575	9107
59	1601	9077
60	1631	9066
61	1658	9039
62	1684	9008
63	1709	8976
64	1736	8948
65	1762	8921
66	1788	8888
67	1814	8859
68	1839	8823
69	1868	8809
70	1896	8788
71	1920	8749
72	1946	8717
73	1968	8672
74	1994	8643
75	2020	8614
76	2046	8584
77	2072	8557
78	2102	8543
79	2129	8517
80	2154	8483
81	2179	8453
82	2209	8438
83	2239	8425
84	2266	8400
85	2292	8368
86	2321	8353
87	2350	8332
88	2374	8298
89	2400	8268
90	2426	8240
91	2454	8218
92	2482	8193
93	2508	8165
94	2536	8145
95	2563	8116
96	2586	8079
97	2611	8047
98	2639	8026
99	2664	7994
100	2691	7967
101	2717	7938
102	2745	7915
103	2773	7892
104	2798	7862
105	2825	7837
106	2852	7810
107	2877	7779
108	2905	7756
109	2931	7729
110	2959	7705
111	2987	7680
112	3016	7662
113	3043	7635
114	3070	7609
115	3098	7586
116	3127	7564
117	3153	7536
118	3183	7516
119	3213	7497
120	3242	7475
121	3267	7445
122	3292	7414
123	3318	7386
124	3342	7353
125	3368	7325
126	3396	7301
127	3424	7277
128	3449	7247
129	3477	7222
130	3503	7193
131	3528	7164
132	3553	7133
133	3577	7100
134	3603	7072
135	3632	7050
136	3659	7025
137	3686	6998
138	3710	6966
139	3735	6937
140	3760	6906
141	3785	6878
142	3811	6850
143	3841	6829
144	3870	6806
145	3899	6784
146	3927	6759
147	3957	6738
148	3988	6719
